Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
67242,6/30/1977,1977,37,6,48.30184,26,85.30184,1141700,854668,47.65930457,-122.5237137
67243,2/4/1987,1987,55,6,161.53544,66,216.53544,1135440,869343,47.69907421,-122.5506522
67262,5/16/1986,1986,145,6,64.97376,64,209.97376,1136791,834988,47.60502889,-122.5415583
67283,12/11/1978,1978,143,6,-21.60892,37,121.39108,1142527,838843,47.61599749,-122.5187162
67293,1/26/1982,1982,67,6,34.70604,31,101.70604,1139354,867909,47.69542258,-122.5346148
67322,4/25/1977,1977,237,6,12.34384,76,249.34384,1135594,873308,47.70994998,-122.5504456
67399,8/7/1983,1983,41,6,106.6378,45,147.6378,1129845,856325,47.66300155,-122.5719741
67448,4/20/1990,1990,124,6,20.35696,44,144.35696,1133605,846985,47.63767737,-122.5557348
67471,8/20/1979,1979,70,6,44.8294,35,114.8294,1132355,850981,47.64853801,-122.5612263
67488,9/20/1992,1992,23,36,118.07612,43,141.07612,1141323,838801,47.61579783,-122.5235914
67517,6/8/1990,1990,175,6,-24.08136,46,150.91864,1136086,840323,47.61959838,-122.5449755
67531,3/15/1974,1974,160,8,-5.80052,47,154.19948,1148637,844627,47.63227358,-122.4945465
67562,3/3/1988,1988,128,6,39.32284,51,167.32284,1132689,864134,47.68460404,-122.561266
67568,12/20/1976,1976,302,6,-147.80052,47,154.19948,1140472,858677,47.67020378,-122.5291129
67571,12/4/1981,1981,103,6,-14.41732,27,88.58268,1130992,848359,47.64125534,-122.5664748
67579,8/24/1989,1989,90,6,8.4252,30,98.4252,1131488,831138,47.5941005,-122.5626374
67593,8/30/1990,1990,360,6,-143.46456,66,216.53544,1135440,869343,47.69907421,-122.5506522
67594,12/9/1991,1991,208,8,8.53544,66,216.53544,1135440,869343,47.69907421,-122.5506522
67596,3/15/1978,1978,91,6,141.93964,71,232.93964,1138876,846845,47.6376683,-122.5343494
67645,4/22/1992,1992,503,6,-214.28608,88,288.71392,1134274,873359,47.70999556,-122.5558101
67652,1/10/1979,1979,73,6,114.00788,57,187.00788,1128458,852384,47.65210236,-122.5771791
67654,4/10/1979,1979,170,6,-19.08136,46,150.91864,1137439,841610,47.62322117,-122.5396266
67660,5/21/1986,1986,104,6,10.8294,35,114.8294,1132310,848333,47.64127861,-122.5611281
67673,10/3/1990,1990,239,6,-71.67716,51,167.32284,1127262,857689,47.66655275,-122.5825976
67702,4/13/1986,1986,86,6,130.53544,66,216.53544,1135440,869343,47.69907421,-122.5506522
67704,12/18/1989,1989,97,6,132.6588,70,229.6588,1141969,866515,47.69178712,-122.5238558
67712,5/4/1986,1986,113,6,14.95276,39,127.95276,1128573,857667,47.66658721,-122.5772771
67713,8/4/1987,1987,165,6,8.88452,53,173.88452,1147994,845308,47.63409515,-122.4972231
67751,8/29/1992,1992,105,6,101.69292,63,206.69292,1139909,836221,47.60862823,-122.5290529
67789,6/18/1987,1987,89,6,38.95276,39,127.95276,1142931,850651,47.64838335,-122.5183037
67792,8/30/1994,1994,222,6,-34.99212,57,187.00788,1138998,852142,47.65219216,-122.5344088
