Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1143160,859894,47.67372768,-122.518334363,11/14/1976,66.0,6.0,62570,W,47.67372768,99,-122.518334363,324.80316,258.80316
1,1138078,833624,47.601382266,-122.53620076799999,11/5/1992,38.0,60.0,62651,W,47.601382266,63,-122.53620076799999,206.69292,168.69292
1,1132952,873409,47.710038008999994,-122.56118252,1/14/1987,161.0,6.0,62691,W,47.710038008999994,40,-122.56118252,131.2336,-29.766400000000004
1,1141969,866515,47.691787118,-122.52385584,2/11/1994,109.0,6.0,62701,W,47.691787118,70,-122.52385584,229.65879999999999,120.65879999999999
1,1151210,825604,47.580321372,-122.48217691200001,8/18/1978,84.0,6.0,62720,W,47.580321372,0,-122.48217691200001,0.0,-84.0
1,1135694,875910,47.717087012,-122.55031429200001,10/8/1991,462.0,6.0,62725,W,47.717087012,53,-122.55031429200001,173.88452,-288.11548
1,1132480,856277,47.663059246,-122.561280724,1/23/1989,91.0,6.0,62726,W,47.663059246,66,-122.561280724,216.53544,125.53544
1,1141969,866515,47.691787118,-122.52385584,6/14/1990,123.0,6.0,62727,W,47.691787118,70,-122.52385584,229.65879999999999,106.65879999999999
1,1141946,865200,47.688182111,-122.523812221,3/8/1980,123.0,6.0,62728,W,47.688182111,73,-122.523812221,239.50132,116.50131999999999
1,1141323,838801,47.615797833,-122.523591381,1/1/1980,299.0,6.0,62777,W,47.615797833,43,-122.523591381,141.07612,-157.92388
1,1132191,843044,47.62677682899999,-122.561050096,9/4/1974,65.0,6.0,62804,W,47.62677682899999,102,-122.561050096,334.64567999999997,269.64567999999997
1,1141323,838801,47.615797833,-122.523591381,5/16/1991,253.0,6.0,62823,W,47.615797833,43,-122.523591381,141.07612,-111.92388
1,1132155,841724,47.623157086000006,-122.56105617799999,7/18/1991,59.0,6.0,62837,W,47.623157086000006,98,-122.56105617799999,321.52232,262.52232
