Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd
1,1145428,846659,47.637618755,-122.507765559,2/7/1982,120,6,66072,W
1,1143228,862527,47.680947509,-122.518331884,6/10/1988,159,6,66074,W
1,1131162,856302,47.663033225,-122.566629573,12/31/1986,44,6,66084,W
1,1133969,862796,47.681029214,-122.555930283,4/7/1978,50,6,66087,W
1,1133969,862796,47.681029214,-122.555930283,2/4/1992,71,6,66121,W
1,1137941,836945,47.610473187,-122.537103427,3/7/1986,377,6,66136,W
1,1129401,843098,47.626724436,-122.572365177,9/12/1989,212,6,66168,W
1,1137526,845573,47.634087104,-122.539689472,10/24/1984,117,6,66177,W
1,1138776,842882,47.626801463,-122.534340372,6/30/1992,53,6,66193,W
1,1135366,866703,47.691834844,-122.550673958,4/13/1991,257,6,66195,W
1,1132355,850981,47.648538012,-122.561226257,10/2/1979,82,6,66208,W
1,1132749,866768,47.691825994,-122.561301921,7/18/1973,93,6,66246,W
1,1128704,860305,47.673825316,-122.577027563,11/11/1986,104,6,66247,W
1,1130281,845730,47.634000122,-122.569078004,11/6/1978,44,6,66262,W
1,1140090,869863,47.700828932,-122.531831906,8/24/1978,158,6,66270,W
1,1142931,850651,47.648383346,-122.518303683,4/13/1979,180,6,66293,W
1,1133629,848309,47.641307189,-122.555777461,10/15/1982,98,6,66301,W
1,1132659,862815,47.680987571,-122.561247840,8/5/1986,123,6,66315,W
1,1137256,836304,47.608668121,-122.539812082,7/16/1979,245,6,66338,W
1,1127169,853731,47.655700276,-122.582550840,5/15/1992,71,6,66339,W
1,1134151,870710,47.702728069,-122.556029029,9/3/1985,62,6,66340,W
1,1135366,866703,47.691834844,-122.550673958,2/16/1987,245,6,66348,W
1,1124547,855094,47.659244946,-122.593331611,8/4/1989,230,6,66374,W
1,1128921,833874,47.601413515,-122.573327828,4/9/1985,65,6,66455,W
1,1142004,867831,47.695395703,-122.523850864,4/14/1979,70,6,66461,W
1,1138185,871900,47.706275941,-122.539778566,8/4/1978,109,6,66476,W
1,1133479,841699,47.623183280,-122.555687007,4/21/1981,105,6,66479,W
1,1146727,846636,47.637646238,-122.502496473,6/28/1979,195,6,66480,W
1,1144049,844048,47.630367469,-122.513086376,5/14/1993,3,6,66482,W
1,1134802,841673,47.623206416,-122.550321778,7/11/1980,294,8,66498,W
1,1127151,852411,47.652081886,-122.582482467,5/15/1987,63,6,66546,W
1,1133939,860201,47.673916228,-122.555777514,3/11/1989,420,6,66548,W
1,1128889,832512,47.597678921,-122.573312395,8/14/1987,87,6,66573,W
