well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
70331,317,6,4/12/1984,W,1087523,852176,47.64845974,-122.7431552
70333,294,6,2/12/1991,W,1132798,869426,47.6991129,-122.561385
70334,237,6,5/13/1987,W,1134339,918347,47.83327052,-122.5603181
70338,80,6,7/31/1989,W,1126390,810010,47.53583543,-122.5810309
70341,160,6,11/11/1983,W,1052101,821774,47.5623093,-122.8830561
70343,339,6,5/14/1982,W,1075632,849870,47.64120442,-122.7910999
70346,442,6,3/18/1978,W,1121062,840659,47.61943558,-122.6059031
70347,85,6,10/27/1988,W,1141481,890177,47.75659065,-122.5283064
70356,142,6,10/9/1995,W,1087387,848203,47.6375628,-122.7432484
70358,293,6,8/17/1989,W,1102027,898057,47.77529105,-122.6895071
70359,139,6,4/30/1979,W,1087387,848203,47.6375628,-122.7432484
70360,215,6,9/12/1989,W,1106888,880841,47.7284874,-122.6678248
70361,150,6,11/10/1978,W,1081198,820628,47.56151902,-122.7651278
70365,71,6,8/25/1992,W,1128861,831151,47.59394735,-122.5732809
70367,138,6,4/20/1974,W,1108386,889986,47.75365756,-122.6627598
70368,95,6,6/8/1977,W,1113860,855463,47.65947065,-122.6367176
70371,94,6,2/27/1989,W,1113769,893686,47.76419808,-122.6412964
70373,396,6,3/2/1977,W,1140222,939445,47.89149673,-122.5385977
70375,349,6,5/27/1993,W,1144266,906541,47.80162532,-122.5186918
70379,261,6,7/26/1992,W,1127716,809974,47.53583254,-122.5756612
70380,118,6,5/7/1989,W,1088121,868110,47.69216617,-122.7425678
70384,637,6,10/23/1989,W,1124578,926203,47.85408988,-122.6008896
70387,382,6,4/25/1991,W,1102027,898057,47.77529105,-122.6895071
70388,213,6,4/2/1990,W,1115083,869334,47.69756978,-122.6332792
70391,91,6,6/10/1986,W,1140825,912802,47.8185385,-122.5333426
70393,99,6,8/17/1984,W,1059946,851527,47.64447845,-122.8548949
70394,43,6,7/14/1978,W,1079540,849772,47.64124594,-122.7752441
70396,262,6,4/20/1988,W,1145518,849242,47.64470323,-122.5076673
70397,98,6,4/20/1976,W,1132155,841724,47.62315709,-122.5610562
70398,255,,8/29/1980,W,1143799,835923,47.60808482,-122.513259
70399,65,6,5/15/1979,W,1130135,911839,47.81513656,-122.5767279
70403,115,6,4/15/1987,W,1128836,914510,47.8223612,-122.582299
70407,120,6,1/26/1985,W,1134723,839026,47.61594723,-122.550363
